county,bush,gore,buch
Alachua,34124,47365,263
Baker,5610,2392,73
Bay,38637,18850,248
Bradford,5414,3075,65
Brevard,115185,97318,570
Broward,177902,387703,795
Calhoun,2873,2155,90
Charlotte,35426,29645,182
Citrus,29767,25525,270
Clay,41736,14632,186
Collier,60450,29921,122
Columbia,10964,7047,89
Desoto,4256,3320,36
Dixie,2697,1826,29
Duval,152098,107864,652
Escambia,73017,40943,502
Flagler,12613,13897,83
Franklin,2454,2046,33
Gadsden,4767,9735,38
Gilchrist,3300,1910,29
Glades,1841,1442,9
Gulf,3550,2397,71
Hamilton,2146,1722,23
Hardee,3765,2339,30
Hendry,4747,3240,22
Hernando,30646,32644,242
Highlands,20206,14167,127
Hillsborough,180760,169557,847
Holmes,5011,2177,76
Indian River,28635,19768,105
Jackson,9138,6868,102
Jefferson,2478,3041,29
Lafayette,1670,789,10
Lake,50010,36571,289
Lee,106141,73560,305
Leon,39062,61427,282
Levy,6858,5398,67
Liberty,1317,1017,39
Madison,3038,3014,29
Manatee,57952,49177,271
Marion,55141,44665,563
Martin,33970,26620,112
Miami-Dade,289533,328808,560
Monroe,16059,16483,47
Nassau,16404,6952,90
Okaloosa,52093,16948,267
Okeechobee,5057,4588,43
Orange,134517,140220,446
Osceola,26212,28181,145
Palm Beach,152951,269732,3411
Pasco,68582,69564,570
Pinellas,184825,200630,1013
Polk,90295,75200,533
Putnam,13447,12102,148
Santa Rosa,36274,12802,311
Sarasota,83100,72853,305
Seminole,75677,59174,194
St. Johns,39546,19502,229
St. Lucie,34705,41559,124
Sumter,12127,9637,114
Suwannee,8006,4075,108
Taylor,4056,2649,27
Union,2332,1407,37
Volusia,82357,97304,498
Wakulla,4512,3838,46
Walton,12182,5642,120
Washington,4994,2798,88
